menu_name,min_price,max_price,menu_desc,menu_name_en
Set Menu,100000,300000,에그앤플라워를 합리적 가격으로 더욱 알차게 즐길수 있는 세트메뉴 입니다.,
Small Plate,4000,27000,,Small Plate
Fresh Pasta,27000,30000,,Fresh Pasta
Charcoal & Smoking,20000,53000,,Charcoal & Smoking
Sweet,12000,,,Sweet
런치 시그니쳐 2인세트,109000,,"기본 포함사항 
에피타이져 - 하프포션 시져샐러드와 부르스케타
파스타 2종 선택 가능
이베리코 스테이크 100g
",
디너 시그니쳐 2인세트,150000,,"
기본 포함사항 
뵈브클리코 샴페인 글라스 와인 2잔 포함 
에피타이져 - 하프포션 시져샐러드와 부르스케타
파스타 2종 선택 가능
이베리코 스테이크 100g
",
Bottle 2인세트,250000,,"기본 포함사항.
뵈브클리코 샴페인 1보틀.
에피타이져 - 하프포션 시져샐러드와 부르스케타.
파스타 2종 선택 가능.
이베리코 스테이크 100g.
",
